ip,mean
198.73.50.71,237585
5.255.80.27,237585
5.189.146.133,237585
5.189.188.111,237585
5.196.1.129,237585
5.196.58.96,237585
5.196.66.162,237585
5.199.130.188,237585
5.199.171.58,237585
5.28.62.85,237585
49.88.121.163,237585
5.39.86.206,237585
5.56.133.19,237585
5.61.34.63,237585
5.79.68.161,237585
5.79.86.15,237585
50.247.195.124,237585
50.7.176.2,237585
5.157.38.34,237585
46.39.102.250,237585
51.15.37.97,237585
46.182.19.15,237585
46.167.245.51,237585
46.17.100.14,237585
46.182.18.111,237585
46.182.18.214,237585
46.182.18.29,237585
46.182.18.40,237585
46.182.18.46,237585
46.182.19.219,237585
46.28.111.122,237585
46.183.218.199,237585
46.183.221.231,237585
46.233.0.70,237585
46.235.227.70,237585
46.242.66.240,237585
46.246.93.70,237585
46.28.110.136,237585
51.15.13.245,237585
51.15.40.233,237585
212.47.238.193,237585
66.180.193.219,237585
64.137.178.3,237585
64.137.206.52,237585
64.137.215.208,237585
65.158.81.132,237585
65.181.112.128,237585
65.181.123.254,237585
66.155.4.213,237585
67.205.146.164,237585
64.113.32.29,237585
67.215.255.140,237585
69.164.207.234,237585
69.195.129.71,237585
71.19.157.127,237585
71.46.220.68,237585
72.12.207.14,237585
72.14.179.10,237585
64.124.32.84,237585
62.210.87.71,237585
51.15.53.118,237585
51.255.38.226,237585
51.15.53.83,237585
51.15.56.11,237585
51.15.62.146,237585
51.15.63.229,237585
51.15.79.107,237585
51.254.215.7,237585
51.255.202.66,237585
58.80.109.59,237585
62.210.87.30,237585
59.115.115.115,237585
60.248.162.179,237585
62.102.148.67,237585
62.133.130.105,237585
62.210.105.116,237585
62.210.129.246,237585
62.210.37.82,237585
46.166.190.223,237585
46.166.190.192,237585
46.166.190.182,237585
27.50.94.251,237585
221.8.69.25,237585
223.26.48.248,237585
223.81.192.191,237585
23.239.10.144,237585
23.254.211.232,237585
23.95.113.5,237585
24.207.212.154,237585
31.16.91.237,237585
217.182.207.27,237585
31.171.155.102,237585
31.172.30.4,237585
31.185.104.19,237585
31.185.104.20,237585
31.185.104.21,237585
31.192.228.185,237585
31.210.117.131,237585
220.179.28.85,237585
217.160.2.23,237585
46.166.188.208,237585
213.108.105.71,237585
212.47.247.226,237585
212.47.248.81,237585
212.68.41.83,237585
212.81.199.159,237585
212.83.40.238,237585
212.83.40.239,237585
212.92.219.15,237585
213.136.71.21,237585
217.12.204.104,237585
213.39.51.93,237585
213.95.21.54,237585
216.17.101.79,237585
216.17.99.183,237585
216.239.90.19,237585
216.75.21.31,237585
217.12.201.109,237585
31.31.72.43,237585
31.31.74.47,237585
31.41.219.228,237585
45.62.255.94,237585
37.48.120.196,237585
37.97.228.159,237585
41.206.188.206,237585
45.33.23.23,237585
45.33.48.204,237585
45.55.178.34,237585
45.56.90.85,237585
45.79.85.112,237585
35.0.127.52,237585
46.101.127.145,237585
46.101.138.211,237585
46.101.139.248,237585
46.101.169.151,237585
46.101.197.155,237585
46.148.26.78,237585
46.166.186.243,237585
37.48.109.107,237585
37.233.99.157,237585
37.220.36.240,237585
37.220.35.36,237585
35.184.106.64,237585
37.123.130.176,237585
37.123.130.186,237585
37.139.8.104,237585
37.187.129.166,237585
37.187.239.8,237585
37.187.247.3,237585
37.187.7.74,237585
37.187.96.78,237585
37.200.98.117,237585
37.218.240.21,237585
37.218.240.50,237585
37.218.240.68,237585
37.218.240.80,237585
37.220.35.202,237585
74.50.54.69,237585
77.109.139.87,237585
77.81.104.124,237585
107.182.131.117,237585
108.61.166.139,237585
108.61.123.73,237585
91.203.146.126,237585
91.203.5.146,237585
91.203.5.165,237585
108.28.164.248,237585
108.166.168.158,237585
107.181.174.84,237585
91.146.121.3,237585
107.170.1.205,237585
91.219.236.136,237585
91.219.236.222,237585
91.219.236.232,237585
91.219.237.244,237585
91.228.151.52,237585
91.229.77.64,237585
108.61.187.24,237585
109.126.9.228,237585
91.121.192.154,237585
109.188.125.5,237585
109.188.126.30,237585
109.188.126.21,237585
109.188.126.18,237585
109.188.126.15,237585
