ip,mean
216.75.21.31,239565.000000
185.104.120.2,239565.000000
185.135.156.94,239565.000000
178.239.167.15,239565.000000
163.172.140.30,239565.000000
185.128.40.220,239565.000000
46.235.227.70,239565.000000
163.172.138.68,239565.000000
185.117.118.234,239565.000000
185.112.157.135,239565.000000
185.104.120.7,239565.000000
185.104.120.4,239565.000000
185.103.99.60,239565.000000
185.16.200.176,239565.000000
185.100.87.82,239565.000000
185.100.87.73,239565.000000
185.100.87.63,239565.000000
185.100.87.44,239565.000000
185.100.87.139,239565.000000
185.100.87.120,239565.000000
185.100.86.86,239565.000000
109.188.125.5,239565.000000
185.100.86.167,239565.000000
185.100.86.128,239565.000000
185.16.173.84,239565.000000
128.153.145.125,239565.000000
192.34.80.176,239565.000000
79.172.193.32,239565.000000
109.188.125.13,239565.000000
185.38.151.64,239565.000000
185.38.14.215,239565.000000
185.38.14.171,239565.000000
185.36.100.145,239565.000000
178.32.53.124,239565.000000
79.98.107.90,239565.000000
109.188.125.19,239565.000000
109.188.125.20,239565.000000
163.172.153.12,239565.000000
163.172.152.231,239565.000000
163.172.143.114,239565.000000
124.109.1.207,239565.000000
109.188.125.3,239565.000000
185.189.14.61,239565.000000
185.189.14.230,239565.000000
109.188.125.32,239565.000000
185.175.208.180,239565.000000
125.212.241.182,239565.000000
185.17.184.228,239565.000000
163.172.151.250,239565.000000
185.165.168.77,239565.000000
185.100.86.100,239565.000000
185.100.85.61,239565.000000
185.100.85.236,239565.000000
78.107.237.16,239565.000000
163.172.101.137,239565.000000
172.97.103.47,239565.000000
109.188.126.21,239565.000000
78.31.164.41,239565.000000
109.188.126.30,239565.000000
78.142.175.70,239565.000000
78.130.128.106,239565.000000
78.129.137.28,239565.000000
162.253.42.208,239565.000000
78.109.23.1,239565.000000
78.106.220.129,239565.000000
185.100.85.192,239565.000000
77.81.247.72,239565.000000
77.81.107.138,239565.000000
46.148.26.78,239565.000000
77.81.104.124,239565.000000
109.188.127.28,239565.000000
77.109.139.87,239565.000000
74.50.54.69,239565.000000
49.88.121.163,239565.000000
72.14.179.10,239565.000000
72.12.207.14,239565.000000
78.70.167.74,239565.000000
163.172.129.70,239565.000000
109.188.126.18,239565.000000
109.188.126.15,239565.000000
185.100.85.191,239565.000000
185.100.85.190,239565.000000
185.100.85.176,239565.000000
185.100.85.147,239565.000000
185.100.85.132,239565.000000
185.100.84.82,239565.000000
185.100.84.108,239565.000000
128.199.47.160,239565.000000
185.10.68.119,239565.000000
178.238.237.44,239565.000000
163.172.136.101,239565.000000
163.172.135.172,239565.000000
109.188.125.60,239565.000000
184.105.220.24,239565.000000
120.29.217.46,239565.000000
128.52.128.105,239565.000000
79.143.186.17,239565.000000
109.188.126.11,239565.000000
79.137.80.94,239565.000000
109.188.126.13,239565.000000
128.73.141.124,239565.000000
178.32.53.131,239565.000000
163.172.154.105,239565.000000
163.172.158.208,239565.000000
46.182.19.219,239565.000000
118.163.74.160,239565.000000
93.115.95.201,239565.000000
93.115.95.202,239565.000000
93.115.95.204,239565.000000
93.115.95.205,239565.000000
46.183.218.199,239565.000000
93.115.95.206,239565.000000
93.115.95.207,239565.000000
93.115.95.216,239565.000000
80.79.23.7,239565.000000
46.182.19.15,239565.000000
46.182.18.40,239565.000000
190.10.8.50,239565.000000
93.219.113.201,239565.000000
93.64.207.55,239565.000000
80.67.172.162,239565.000000
189.236.206.143,239565.000000
46.182.18.46,239565.000000
188.93.234.203,239565.000000
94.103.175.86,239565.000000
188.65.144.2,239565.000000
94.142.242.84,239565.000000
93.115.241.194,239565.000000
109.169.33.163,239565.000000
163.172.209.46,239565.000000
163.172.211.135,239565.000000
109.126.9.228,239565.000000
163.172.223.200,239565.000000
92.222.115.28,239565.000000
46.183.221.231,239565.000000
192.207.61.178,239565.000000
192.195.80.10,239565.000000
163.172.217.50,239565.000000
192.160.102.166,239565.000000
192.160.102.164,239565.000000
192.155.95.222,239565.000000
192.151.155.130,239565.000000
92.222.22.113,239565.000000
192.121.252.153,239565.000000
92.222.28.243,239565.000000
92.222.38.67,239565.000000
92.222.6.12,239565.000000
163.172.214.76,239565.000000
92.222.71.173,239565.000000
92.222.74.226,239565.000000
92.222.88.7,239565.000000
92.222.92.152,239565.000000
163.172.160.182,239565.000000
94.198.100.17,239565.000000
185.53.178.7,239565.000000
185.80.50.33,239565.000000
97.74.237.196,239565.000000
46.233.0.70,239565.000000
80.221.159.67,239565.000000
46.166.188.208,239565.000000
185.87.185.45,239565.000000
46.166.186.243,239565.000000
185.86.149.97,239565.000000
37.48.109.107,239565.000000
185.82.202.102,239565.000000
178.32.53.94,239565.000000
185.80.222.78,239565.000000
179.43.143.162,239565.000000
185.76.35.11,239565.000000
185.72.244.24,239565.000000
185.69.168.112,239565.000000
185.66.200.10,239565.000000
185.65.205.10,239565.000000
185.61.149.193,239565.000000
185.61.138.74,239565.000000
185.61.138.207,239565.000000
185.61.138.104,239565.000000
109.188.124.25,239565.000000
96.43.141.186,239565.000000
46.166.190.182,239565.000000
46.166.190.192,239565.000000
46.166.190.223,239565.000000
46.182.18.29,239565.000000
94.242.57.161,239565.000000
94.242.57.2,239565.000000
46.182.18.214,239565.000000
188.165.59.43,239565.000000
188.126.81.155,239565.000000
46.182.18.111,239565.000000
94.254.2.71,239565.000000
94.31.53.203,239565.000000
80.248.208.131,239565.000000
95.128.43.164,239565.000000
95.141.35.15,239565.000000
95.163.107.14,239565.000000
95.163.107.15,239565.000000
95.211.118.194,239565.000000
178.62.71.57,239565.000000
46.17.100.14,239565.000000
95.31.22.193,239565.000000
80.241.60.207,239565.000000
46.167.245.51,239565.000000
178.62.18.173,239565.000000
71.46.220.68,239565.000000
71.19.157.127,239565.000000
162.247.73.206,239565.000000
5.196.66.162,239565.000000
41.206.188.206,239565.000000
37.123.130.186,239565.000000
5.199.171.58,239565.000000
146.185.128.226,239565.000000
146.185.135.43,239565.000000
146.185.139.55,239565.000000
37.139.8.104,239565.000000
5.199.130.188,239565.000000
146.185.177.103,239565.000000
159.203.30.48,239565.000000
5.196.58.96,239565.000000
149.202.44.177,239565.000000
37.187.129.166,239565.000000
5.157.38.34,239565.000000
158.69.244.40,239565.000000
37.187.239.8,239565.000000
37.187.247.3,239565.000000
148.251.255.92,239565.000000
149.202.238.204,239565.000000
149.202.42.188,239565.000000
158.69.208.131,239565.000000
176.67.169.254,239565.000000
37.123.130.176,239565.000000
146.0.77.50,239565.000000
176.10.104.240,239565.000000
144.76.238.214,239565.000000
162.220.246.230,239565.000000
5.79.68.161,239565.000000
5.61.34.63,239565.000000
162.213.3.221,239565.000000
31.210.117.131,239565.000000
31.31.72.43,239565.000000
31.31.74.47,239565.000000
31.41.219.228,239565.000000
143.215.130.33,239565.000000
178.151.182.123,239565.000000
35.0.127.52,239565.000000
35.184.106.64,239565.000000
174.127.99.132,239565.000000
5.56.133.19,239565.000000
144.217.161.119,239565.000000
5.39.86.206,239565.000000
144.217.60.211,239565.000000
177.85.98.227,239565.000000
5.28.62.85,239565.000000
144.217.60.239,239565.000000
5.255.80.27,239565.000000
37.97.228.159,239565.000000
37.187.7.74,239565.000000
31.192.228.185,239565.000000
176.10.99.201,239565.000000
149.56.99.37,239565.000000
149.56.99.38,239565.000000
151.100.179.50,239565.000000
176.10.99.205,239565.000000
176.10.99.204,239565.000000
151.80.238.152,239565.000000
176.10.99.203,239565.000000
5.189.188.111,239565.000000
176.10.99.202,239565.000000
37.220.35.202,239565.000000
158.58.170.186,239565.000000
37.187.96.78,239565.000000
154.70.153.175,239565.000000
37.220.35.36,239565.000000
155.4.230.97,239565.000000
176.10.99.200,239565.000000
37.220.36.240,239565.000000
176.10.107.180,239565.000000
158.255.7.61,239565.000000
5.196.1.129,239565.000000
37.233.99.157,239565.000000
176.10.104.243,239565.000000
149.56.99.36,239565.000000
176.10.99.206,239565.000000
176.10.99.207,239565.000000
149.56.223.241,239565.000000
149.202.47.181,239565.000000
149.202.58.41,239565.000000
176.58.89.182,239565.000000
176.58.100.98,239565.000000
37.200.98.117,239565.000000
149.202.62.12,239565.000000
158.69.194.36,239565.000000
37.218.240.21,239565.000000
176.31.45.3,239565.000000
176.31.200.122,239565.000000
176.126.252.12,239565.000000
37.218.240.50,239565.000000
176.126.252.11,239565.000000
158.69.172.225,239565.000000
5.189.146.133,239565.000000
37.218.240.68,239565.000000
176.114.0.120,239565.000000
176.10.99.209,239565.000000
176.10.99.208,239565.000000
158.58.170.222,239565.000000
37.218.240.80,239565.000000
5.79.86.15,239565.000000
31.185.104.21,239565.000000
69.195.129.71,239565.000000
62.133.130.105,239565.000000
221.8.69.25,239565.000000
62.210.87.71,239565.000000
62.210.87.30,239565.000000
62.210.37.82,239565.000000
62.210.129.246,239565.000000
62.210.105.116,239565.000000
162.247.72.217,239565.000000
46.101.138.211,239565.000000
46.101.127.145,239565.000000
162.247.72.216,239565.000000
178.18.83.215,239565.000000
162.247.72.201,239565.000000
62.102.148.67,239565.000000
173.255.229.8,239565.000000
60.248.162.179,239565.000000
137.74.167.96,239565.000000
109.69.67.17,239565.000000
138.197.207.243,239565.000000
59.115.115.115,239565.000000
58.80.109.59,239565.000000
139.162.10.72,239565.000000
45.79.85.112,239565.000000
173.255.226.142,239565.000000
64.113.32.29,239565.000000
109.236.90.209,239565.000000
46.101.139.248,239565.000000
69.164.207.234,239565.000000
67.215.255.140,239565.000000
67.205.146.164,239565.000000
