ip,mean
67.249.138.113,237180
194.28.87.26,237180
46.101.152.147,237180
46.101.169.151,237180
46.101.170.138,237180
46.101.192.230,237180
46.101.216.71,237180
194.31.59.5,237180
46.101.231.44,237180
46.101.9.51,237180
46.101.149.105,237180
46.105.121.81,237180
46.105.63.44,237180
46.127.31.29,237180
46.163.78.14,237180
46.165.221.166,237180
46.165.250.224,237180
46.166.162.34,237180
46.101.151.222,237180
46.101.142.174,237180
45.76.119.205,237180
45.79.138.8,237180
45.76.149.112,237180
45.76.177.51,237180
45.76.86.86,237180
45.76.92.117,237180
45.79.108.96,237180
45.79.109.55,237180
45.79.137.11,237180
45.79.184.114,237180
46.101.104.245,237180
45.79.67.237,237180
45.79.76.174,237180
45.79.85.112,237180
45.79.89.133,237180
45.79.92.94,237180
45.79.95.244,237180
45.79.99.101,237180
46.166.165.57,237180
46.17.63.214,237180
46.188.4.37,237180
46.38.48.225,237180
46.28.205.75,237180
46.28.64.234,237180
46.28.68.157,237180
46.36.39.134,237180
46.38.231.209,237180
46.38.234.158,237180
46.38.250.39,237180
193.32.68.48,237180
46.188.44.25,237180
46.4.0.89,237180
46.4.103.35,237180
46.4.122.173,237180
46.41.59.223,237180
46.4.174.52,237180
46.4.25.214,237180
46.4.253.194,237180
46.28.205.187,237180
46.28.110.244,237180
46.28.109.231,237180
46.249.37.109,237180
46.19.137.186,237180
46.19.143.139,237180
194.1.236.126,237180
46.20.35.114,237180
46.21.144.10,237180
46.22.212.230,237180
193.9.28.49,237180
193.9.28.254,237180
193.9.28.16,237180
193.9.28.13,237180
193.70.86.51,237180
46.229.238.172,237180
46.23.70.195,237180
46.239.108.194,237180
46.246.93.70,237180
45.76.140.98,237180
45.76.107.140,237180
46.4.78.3,237180
37.187.97.95,237180
37.187.30.78,237180
37.187.3.106,237180
195.19.192.99,237180
37.187.4.8,237180
37.187.78.210,237180
37.187.96.78,237180
37.187.96.84,237180
37.200.98.117,237180
37.187.23.169,237180
37.200.99.251,237180
37.205.11.149,237180
37.221.162.226,237180
37.228.134.103,237180
37.233.99.157,237180
195.154.69.90,237180
195.154.241.208,237180
37.187.23.232,237180
37.187.22.87,237180
45.63.89.53,237180
37.187.17.67,237180
37.187.107.91,237180
37.187.111.205,237180
37.187.115.47,237180
37.187.1.29,237180
37.187.130.226,237180
37.187.16.175,237180
37.187.16.43,237180
37.187.177.2,237180
37.187.2.230,237180
37.187.180.112,237180
37.187.180.18,237180
37.187.180.4,237180
37.187.20.59,237180
37.187.20.79,237180
37.187.21.28,237180
37.187.22.131,237180
37.235.60.77,237180
37.24.229.143,237180
37.247.49.139,237180
45.55.129.39,237180
45.32.36.228,237180
45.33.111.116,237180
45.33.60.47,237180
45.35.72.85,237180
45.50.173.159,237180
45.55.108.110,237180
45.55.12.23,237180
45.55.19.132,237180
37.252.190.176,237180
45.55.236.19,237180
45.56.89.8,237180
45.63.14.225,237180
45.63.25.179,237180
45.63.25.235,237180
45.63.26.48,237180
45.63.67.113,237180
45.32.31.42,237180
45.32.250.46,237180
45.32.246.15,237180
45.32.245.73,237180
37.35.107.238,237180
195.123.211.6,237180
37.58.57.231,237180
37.59.37.59,237180
37.59.40.193,237180
37.97.185.116,237180
38.229.70.52,237180
38.229.70.53,237180
38.229.70.61,237180
38.229.79.2,237180
43.231.114.52,237180
43.252.37.14,237180
45.123.118.101,237180
45.32.117.1,237180
45.32.240.31,237180
46.4.57.151,237180
46.4.81.49,237180
37.187.104.178,237180
5.2.54.152,237180
52.183.47.155,237180
52.35.11.2,237180
52.36.85.58,237180
52.42.94.200,237180
5.249.149.153,237180
5.249.159.198,237180
5.249.159.209,237180
5.255.82.75,237180
5.196.71.24,237180
52.63.134.148,237180
52.66.117.126,237180
52.66.79.102,237180
5.2.70.162,237180
5.2.75.42,237180
52.90.84.21,237180
52.91.227.251,237180
