Date_time,No.of Black_listed_IPs
2017-05-19_0006,21784
2017-05-19_2330,20879
2017-05-19_2345,20477
2017-05-20_0000,20477
2017-05-20_0015,20479
2017-05-20_0030,21123
2017-05-20_0045,21123
2017-05-20_0100,21123
2017-05-20_0115,21125
2017-05-20_0130,21125
2017-05-20_0145,21125
2017-05-20_0200,21125
2017-05-20_0215,21125
2017-05-20_0230,21125
2017-05-20_0245,21125
2017-05-20_0300,21125
2017-05-20_0315,21125
2017-05-20_0330,21125
2017-05-20_0345,21125
2017-05-20_0400,21125
2017-05-20_0415,21125
2017-05-20_0430,21125
2017-05-20_0445,21125
2017-05-20_0500,21125
2017-05-20_0515,21126
2017-05-20_0530,21126
2017-05-20_0545,21126
2017-05-20_0600,21126
2017-05-20_0615,21126
2017-05-20_0630,21126
2017-05-20_0645,21126
2017-05-20_0700,21126
2017-05-20_0715,21121
2017-05-20_0730,21121
2017-05-20_0745,21121
2017-05-20_0800,21121
2017-05-20_0815,21121
2017-05-20_0830,21121
2017-05-20_0845,21121
2017-05-20_0900,21121
2017-05-20_0915,21125
2017-05-20_0930,21125
2017-05-20_0945,21125
2017-05-20_1000,21125
2017-05-20_1015,21125
2017-05-20_1030,21125
2017-05-20_1045,21125
2017-05-20_1100,21125
2017-05-20_1115,21122
2017-05-20_1130,21122
2017-05-20_1145,21122
2017-05-20_1200,21122
2017-05-20_1215,21122
2017-05-20_1230,21122
2017-05-20_1245,21122
2017-05-20_1300,21122
2017-05-20_1315,21130
2017-05-20_1330,21130
2017-05-20_1345,21130
2017-05-20_1400,21130
2017-05-20_1415,21130
2017-05-20_1430,21130
2017-05-20_1445,21130
2017-05-20_1500,21130
2017-05-20_1515,21130
2017-05-20_1530,21130
2017-05-20_1545,21130
2017-05-20_1600,21130
2017-05-20_1615,21131
2017-05-20_1630,21131
2017-05-20_1645,21131
2017-05-20_1700,21131
2017-05-20_1715,21127
2017-05-20_1730,21127
2017-05-20_1745,21125
2017-05-20_1800,21125
2017-05-20_1815,21125
2017-05-20_1830,20550
2017-05-20_1845,20550
2017-05-20_1900,21143
2017-05-20_1915,21142
2017-05-20_1930,21142
2017-05-20_1945,21142
2017-05-20_2000,21142
2017-05-20_2015,21142
2017-05-20_2030,21142
2017-05-20_2045,21142
2017-05-20_2100,21142
2017-05-20_2115,21146
2017-05-20_2130,21146
2017-05-20_2145,21146
2017-05-20_2200,21146
2017-05-20_2215,21146
2017-05-20_2230,21146
2017-05-20_2245,21146
2017-05-20_2300,21146
2017-05-20_2315,21147
2017-05-20_2330,21147
2017-05-20_2345,21147
2017-05-21_0000,21147
2017-05-21_0015,21147
2017-05-21_0030,21147
2017-05-21_0045,21147
2017-05-21_0100,21147
2017-05-21_0115,21157
2017-05-21_0130,21157
2017-05-21_0145,21157
2017-05-21_0200,21157
2017-05-21_0215,21157
2017-05-21_0230,21157
2017-05-21_0245,21157
2017-05-21_0300,21157
2017-05-21_0315,21151
2017-05-21_0330,21151
2017-05-21_0345,21151
2017-05-21_0400,21151
2017-05-21_0415,21151
2017-05-21_0430,21151
2017-05-21_0445,21151
2017-05-21_0500,21151
2017-05-21_0515,21152
2017-05-21_0530,21152
2017-05-21_0545,21152
2017-05-21_0600,21152
2017-05-21_0615,21152
2017-05-21_0630,21152
2017-05-21_0645,21152
2017-05-21_0700,21152
2017-05-21_0715,21150
2017-05-21_0730,21150
2017-05-21_0745,21150
2017-05-21_0800,21150
2017-05-21_0815,21150
2017-05-21_0830,21150
2017-05-21_0845,21150
2017-05-21_0900,21150
2017-05-21_0915,21150
2017-05-21_0930,21150
2017-05-21_0945,21150
2017-05-21_1000,21150
