Time,Diversity_flag,Count
"5 20th 2017, 05:00:00.000",_snort,"41,326"
"5 20th 2017, 05:00:00.000",_suricata,"26,712"
"5 20th 2017, 05:00:00.000",_snort_suricata,924
"5 22nd 2017, 22:30:00.000",_snort,"41,472"
"5 22nd 2017, 22:30:00.000",_suricata,"26,642"
"5 22nd 2017, 22:30:00.000",_snort_suricata,990
"5 23rd 2017, 23:30:00.000",_snort,"41,588"
"5 23rd 2017, 23:30:00.000",_suricata,"26,524"
"5 23rd 2017, 23:30:00.000",_snort_suricata,952
"5 24th 2017, 00:00:00.000",_suricata,"27,476"
"5 24th 2017, 00:00:00.000",_snort,"21,278"
"5 24th 2017, 00:00:00.000",_snort_suricata,0
"5 24th 2017, 23:00:00.000",_snort,"41,448"
"5 24th 2017, 23:00:00.000",_suricata,"26,524"
"5 24th 2017, 23:00:00.000",_snort_suricata,968
"5 25th 2017, 23:30:00.000",_snort,"40,087"
"5 25th 2017, 23:30:00.000",_suricata,"26,506"
"5 25th 2017, 23:30:00.000",_snort_suricata,949
"5 30th 2017, 16:00:00.000",_snort,"39,959"
"5 30th 2017, 16:00:00.000",_suricata,"26,653"
"5 30th 2017, 16:00:00.000",_snort_suricata,916
"5 31st 2017, 00:00:00.000",_snort,"41,358"
"5 31st 2017, 00:00:00.000",_suricata,"27,259"
"5 31st 2017, 00:00:00.000",_snort_suricata,0
"5 31st 2017, 23:00:00.000",_snort,"41,782"
"5 31st 2017, 23:00:00.000",_suricata,"26,313"
"5 31st 2017, 23:00:00.000",_snort_suricata,924
"6 1st 2017, 22:30:00.000",_snort,"41,799"
"6 1st 2017, 22:30:00.000",_suricata,"26,361"
"6 1st 2017, 22:30:00.000",_snort_suricata,937
"6 2nd 2017, 23:00:00.000",_snort,"41,804"
"6 2nd 2017, 23:00:00.000",_suricata,"26,401"
"6 2nd 2017, 23:00:00.000",_snort_suricata,932
"6 5th 2017, 23:00:00.000",_snort,"41,515"
"6 5th 2017, 23:00:00.000",_suricata,"26,547"
"6 5th 2017, 23:00:00.000",_snort_suricata,923
"6 6th 2017, 22:30:00.000",_snort,"41,832"
"6 6th 2017, 22:30:00.000",_suricata,"26,557"
"6 6th 2017, 22:30:00.000",_snort_suricata,918
"6 7th 2017, 23:00:00.000",_snort,"41,687"
"6 7th 2017, 23:00:00.000",_suricata,"26,469"
"6 7th 2017, 23:00:00.000",_snort_suricata,905
"6 8th 2017, 23:00:00.000",_snort,"41,625"
"6 8th 2017, 23:00:00.000",_suricata,"26,611"
"6 8th 2017, 23:00:00.000",_snort_suricata,947
"6 9th 2017, 23:00:00.000",_snort,"39,504"
"6 9th 2017, 23:00:00.000",_suricata,"26,479"
"6 9th 2017, 23:00:00.000",_snort_suricata,910
"6 12th 2017, 23:00:00.000",_snort,"34,573"
"6 12th 2017, 23:00:00.000",_suricata,"26,492"
"6 12th 2017, 23:00:00.000",_snort_suricata,907
"6 13th 2017, 23:00:00.000",_snort,"34,520"
"6 13th 2017, 23:00:00.000",_suricata,"26,497"
"6 13th 2017, 23:00:00.000",_snort_suricata,918
"6 14th 2017, 23:00:00.000",_snort,"31,015"
"6 14th 2017, 23:00:00.000",_suricata,"26,603"
"6 14th 2017, 23:00:00.000",_snort_suricata,935
"6 16th 2017, 00:30:00.000",_snort,"28,684"
"6 16th 2017, 00:30:00.000",_suricata,"26,504"
"6 16th 2017, 00:30:00.000",_snort_suricata,914
"6 16th 2017, 17:00:00.000",_snort,"28,699"
"6 16th 2017, 17:00:00.000",_suricata,"26,484"
"6 16th 2017, 17:00:00.000",_snort_suricata,913
"6 16th 2017, 23:00:00.000",_snort,"28,691"
"6 16th 2017, 23:00:00.000",_suricata,"26,480"
"6 16th 2017, 23:00:00.000",_snort_suricata,917
"6 19th 2017, 23:00:00.000",_suricata,"26,531"
"6 19th 2017, 23:00:00.000",_snort,"17,902"
"6 19th 2017, 23:00:00.000",_snort_suricata,908
"6 20th 2017, 23:00:00.000",_suricata,"26,532"
"6 20th 2017, 23:00:00.000",_snort,"13,424"
"6 20th 2017, 23:00:00.000",_snort_suricata,905
"6 21st 2017, 23:00:00.000",_suricata,"26,657"
"6 21st 2017, 23:00:00.000",_snort,"8,726"
"6 21st 2017, 23:00:00.000",_snort_suricata,919
"6 22nd 2017, 22:30:00.000",_suricata,"26,526"
"6 22nd 2017, 22:30:00.000",_snort,"16,308"
"6 22nd 2017, 22:30:00.000",_snort_suricata,918
"6 23rd 2017, 23:00:00.000",_suricata,"26,616"
"6 23rd 2017, 23:00:00.000",_snort,"19,650"
"6 23rd 2017, 23:00:00.000",_snort_suricata,924
"6 26th 2017, 22:30:00.000",_suricata,"14,975"
"6 26th 2017, 22:30:00.000",_snort_suricata,911
"6 26th 2017, 23:00:00.000",_snort,"29,498"
"6 28th 2017, 00:30:00.000",_snort,"24,553"
"6 28th 2017, 00:30:00.000",_suricata,"15,052"
"6 28th 2017, 00:30:00.000",_snort_suricata,927
"6 28th 2017, 23:00:00.000",_snort,"27,649"
"6 28th 2017, 23:00:00.000",_suricata,"15,007"
"6 28th 2017, 23:00:00.000",_snort_suricata,930
"6 29th 2017, 23:00:00.000",_snort,"27,702"
"6 29th 2017, 23:00:00.000",_suricata,"14,951"
"6 29th 2017, 23:00:00.000",_snort_suricata,916
"6 30th 2017, 01:00:00.000",_snort,"27,699"
"6 30th 2017, 01:00:00.000",_suricata,"14,950"
"6 30th 2017, 01:00:00.000",_snort_suricata,917
"6 30th 2017, 22:00:00.000",_snort,"31,606"
"6 30th 2017, 22:00:00.000",_suricata,"14,980"
"6 30th 2017, 22:00:00.000",_snort_suricata,928
"7 5th 2017, 22:30:00.000",_snort,"40,326"
"7 5th 2017, 22:30:00.000",_suricata,"14,980"
"7 5th 2017, 22:30:00.000",_snort_suricata,950
"7 7th 2017, 00:00:00.000",_snort,"35,415"
"7 7th 2017, 00:00:00.000",_suricata,"15,021"
"7 7th 2017, 00:00:00.000",_snort_suricata,952
"7 8th 2017, 00:00:00.000",_snort,"35,151"
"7 8th 2017, 00:00:00.000",_suricata,"14,895"
"7 8th 2017, 00:00:00.000",_snort_suricata,953
"7 11th 2017, 00:00:00.000",_snort,"27,980"
"7 11th 2017, 00:00:00.000",_suricata,"14,967"
"7 11th 2017, 00:00:00.000",_snort_suricata,929
"7 11th 2017, 23:30:00.000",_snort,"31,630"
"7 11th 2017, 23:30:00.000",_suricata,"14,873"
"7 11th 2017, 23:30:00.000",_snort_suricata,928
"7 12th 2017, 23:00:00.000",_snort,"29,589"
"7 12th 2017, 23:00:00.000",_suricata,"14,888"
"7 12th 2017, 23:00:00.000",_snort_suricata,909
"7 13th 2017, 23:30:00.000",_snort,"29,427"
"7 13th 2017, 23:30:00.000",_suricata,"14,898"
"7 13th 2017, 23:30:00.000",_snort_suricata,843
"7 14th 2017, 22:30:00.000",_snort,"25,683"
"7 14th 2017, 22:30:00.000",_suricata,"14,869"
"7 14th 2017, 22:30:00.000",_snort_suricata,841
"7 17th 2017, 22:30:00.000",_snort,"23,730"
"7 17th 2017, 22:30:00.000",_suricata,"14,736"
"7 17th 2017, 22:30:00.000",_snort_suricata,870
"7 18th 2017, 23:00:00.000",_snort,"22,240"
"7 18th 2017, 23:00:00.000",_suricata,"15,135"
"7 18th 2017, 23:00:00.000",_snort_suricata,906
"7 19th 2017, 15:00:00.000",_snort,"20,507"
"7 19th 2017, 15:00:00.000",_suricata,"14,755"
"7 19th 2017, 15:00:00.000",_snort_suricata,877
"7 19th 2017, 23:00:00.000",_snort,"19,275"
"7 19th 2017, 23:00:00.000",_suricata,"14,755"
"7 19th 2017, 23:00:00.000",_snort_suricata,877
"7 20th 2017, 22:30:00.000",_snort,"18,755"
"7 20th 2017, 22:30:00.000",_suricata,"14,745"
"7 20th 2017, 22:30:00.000",_snort_suricata,867
"7 21st 2017, 22:30:00.000",_snort,"16,610"
"7 21st 2017, 22:30:00.000",_suricata,"13,625"
"7 21st 2017, 22:30:00.000",_snort_suricata,858
"7 24th 2017, 19:30:00.000",_suricata,"14,705"
"7 24th 2017, 19:30:00.000",_snort,"13,828"
"7 24th 2017, 19:30:00.000",_snort_suricata,868
"7 24th 2017, 22:30:00.000",_suricata,"14,705"
"7 24th 2017, 22:30:00.000",_snort,"13,832"
"7 24th 2017, 22:30:00.000",_snort_suricata,868
"7 25th 2017, 23:30:00.000",_suricata,"14,815"
"7 25th 2017, 23:30:00.000",_snort,"8,025"
"7 25th 2017, 23:30:00.000",_snort_suricata,869
"7 26th 2017, 23:00:00.000",_suricata,"14,723"
"7 26th 2017, 23:00:00.000",_snort,"6,406"
"7 26th 2017, 23:00:00.000",_snort_suricata,862
"7 27th 2017, 22:30:00.000",_suricata,"14,838"
"7 27th 2017, 22:30:00.000",_snort,"6,424"
"7 27th 2017, 22:30:00.000",_snort_suricata,868
"7 30th 2017, 23:00:00.000",_suricata,"14,853"
"7 30th 2017, 23:00:00.000",_snort,"4,394"
"7 30th 2017, 23:00:00.000",_snort_suricata,844
"7 31st 2017, 23:00:00.000",_suricata,"14,670"
"7 31st 2017, 23:00:00.000",_snort,"4,345"
"7 31st 2017, 23:00:00.000",_snort_suricata,855
"8 1st 2017, 22:30:00.000",_suricata,"14,727"
"8 1st 2017, 22:30:00.000",_snort,"4,349"
"8 1st 2017, 22:30:00.000",_snort_suricata,867
"8 2nd 2017, 23:30:00.000",_suricata,"14,722"
"8 2nd 2017, 23:30:00.000",_snort,"4,387"
"8 2nd 2017, 23:30:00.000",_snort_suricata,861
"8 3rd 2017, 22:30:00.000",_suricata,"14,910"
"8 3rd 2017, 22:30:00.000",_snort,"2,330"
"8 3rd 2017, 22:30:00.000",_snort_suricata,876
"8 4th 2017, 22:30:00.000",_suricata,"14,831"
"8 4th 2017, 22:30:00.000",_snort,"6,208"
"8 4th 2017, 22:30:00.000",_snort_suricata,874
"8 2nd 2017, 23:30:00.000",_suricata,"14,722"
"8 2nd 2017, 23:30:00.000",_snort,"4,387"
"8 2nd 2017, 23:30:00.000",_snort_suricata,861
"8 3rd 2017, 22:30:00.000",_suricata,"14,910"
"8 3rd 2017, 22:30:00.000",_snort,"2,330"
"8 3rd 2017, 22:30:00.000",_snort_suricata,876
"8 4th 2017, 22:30:00.000",_suricata,"14,831"
"8 4th 2017, 22:30:00.000",_snort,"6,208"
"8 4th 2017, 22:30:00.000",_snort_suricata,874
"8 8th 2017, 03:00:00.000",_suricata,"14,801"
"8 8th 2017, 03:00:00.000",_snort,"11,730"
"8 8th 2017, 03:00:00.000",_snort_suricata,862
"8 8th 2017, 23:30:00.000",_suricata,"14,794"
"8 8th 2017, 23:30:00.000",_snort,"12,952"
"8 8th 2017, 23:30:00.000",_snort_suricata,866
"8 9th 2017, 22:00:00.000",_suricata,"14,881"
"8 9th 2017, 22:00:00.000",_snort,"14,814"
"8 9th 2017, 22:00:00.000",_snort_suricata,864
"8 9th 2017, 22:30:00.000",_suricata,"14,881"
"8 9th 2017, 22:30:00.000",_snort,"14,812"
"8 9th 2017, 22:30:00.000",_snort_suricata,864
"8 10th 2017, 21:30:00.000",_snort,"17,011"
"8 10th 2017, 21:30:00.000",_suricata,"14,807"
"8 10th 2017, 21:30:00.000",_snort_suricata,859
"8 11th 2017, 23:30:00.000",_snort,"17,024"
"8 11th 2017, 23:30:00.000",_suricata,"14,760"
"8 11th 2017, 23:30:00.000",_snort_suricata,856
"8 14th 2017, 22:00:00.000",_snort,"18,561"
"8 14th 2017, 22:00:00.000",_suricata,"14,804"
"8 14th 2017, 22:00:00.000",_snort_suricata,890
"8 15th 2017, 22:30:00.000",_snort,"22,009"
"8 15th 2017, 22:30:00.000",_suricata,"14,886"
"8 15th 2017, 22:30:00.000",_snort_suricata,901
"8 16th 2017, 22:00:00.000",_snort,"22,007"
"8 16th 2017, 22:00:00.000",_suricata,"14,868"
"8 16th 2017, 22:00:00.000",_snort_suricata,902
"8 18th 2017, 00:30:00.000",_snort,"23,687"
"8 18th 2017, 00:30:00.000",_suricata,"14,797"
"8 18th 2017, 00:30:00.000",_snort_suricata,901
"8 18th 2017, 22:30:00.000",_snort,"20,441"
"8 18th 2017, 22:30:00.000",_suricata,"14,768"
"8 18th 2017, 22:30:00.000",_snort_suricata,897
"8 21st 2017, 22:30:00.000",_snort,"17,861"
"8 21st 2017, 22:30:00.000",_suricata,"14,752"
"8 21st 2017, 22:30:00.000",_snort_suricata,897
"8 22nd 2017, 22:00:00.000",_snort,"16,475"
"8 22nd 2017, 22:00:00.000",_suricata,"14,737"
"8 22nd 2017, 22:00:00.000",_snort_suricata,913
"8 24th 2017, 02:00:00.000",_snort,"19,195"
"8 24th 2017, 02:00:00.000",_suricata,"14,638"
"8 24th 2017, 02:00:00.000",_snort_suricata,908
"8 24th 2017, 22:00:00.000",_snort,"17,150"
"8 24th 2017, 22:00:00.000",_suricata,"14,705"
"8 24th 2017, 22:00:00.000",_snort_suricata,890
"8 28th 2017, 22:30:00.000",_snort,"16,949"
"8 28th 2017, 22:30:00.000",_suricata,"14,596"
"8 28th 2017, 22:30:00.000",_snort_suricata,875
"8 29th 2017, 23:00:00.000",_suricata,"14,698"
"8 29th 2017, 23:00:00.000",_snort,"12,291"
"8 29th 2017, 23:00:00.000",_snort_suricata,861
"8 30th 2017, 22:30:00.000",_suricata,"14,702"
"8 30th 2017, 22:30:00.000",_snort,"12,294"
"8 30th 2017, 22:30:00.000",_snort_suricata,866
"8 31st 2017, 22:00:00.000",_suricata,"14,688"
"8 31st 2017, 22:00:00.000",_snort,"10,730"
"8 31st 2017, 22:00:00.000",_snort_suricata,854
"9 1st 2017, 22:00:00.000",_suricata,"14,683"
"9 1st 2017, 22:00:00.000",_snort,"11,934"
"9 1st 2017, 22:00:00.000",_snort_suricata,910
"9 5th 2017, 22:30:00.000",_suricata,"14,825"
"9 5th 2017, 22:30:00.000",_snort,"12,557"
"9 5th 2017, 22:30:00.000",_snort_suricata,899
"9 6th 2017, 22:00:00.000",_suricata,"14,938"
"9 6th 2017, 22:00:00.000",_snort,"10,407"
"9 6th 2017, 22:00:00.000",_snort_suricata,887
"9 8th 2017, 14:30:00.000",_suricata,"14,891"
