Time,Diversity_flag,Count
"July 20th 2017, 22:30:00.000",_snort,"18,755"
"July 20th 2017, 22:30:00.000",_suricata,"14,745"
"July 20th 2017, 22:30:00.000",_snort_suricata,867
"July 21st 2017, 22:30:00.000",_snort,"16,610"
"July 21st 2017, 22:30:00.000",_suricata,"13,625"
"July 21st 2017, 22:30:00.000",_snort_suricata,858
"July 24th 2017, 19:30:00.000",_suricata,"14,705"
"July 24th 2017, 19:30:00.000",_snort,"13,828"
"July 24th 2017, 19:30:00.000",_snort_suricata,868
"July 24th 2017, 22:30:00.000",_suricata,"14,705"
"July 24th 2017, 22:30:00.000",_snort,"13,832"
"July 24th 2017, 22:30:00.000",_snort_suricata,868
"July 25th 2017, 23:30:00.000",_suricata,"14,815"
"July 25th 2017, 23:30:00.000",_snort,"8,025"
"July 25th 2017, 23:30:00.000",_snort_suricata,869
"July 26th 2017, 23:00:00.000",_suricata,"14,723"
"July 26th 2017, 23:00:00.000",_snort,"6,406"
"July 26th 2017, 23:00:00.000",_snort_suricata,862
"July 27th 2017, 22:30:00.000",_suricata,"14,838"
"July 27th 2017, 22:30:00.000",_snort,"6,424"
"July 27th 2017, 22:30:00.000",_snort_suricata,868
"July 30th 2017, 23:00:00.000",_suricata,"14,853"
"July 30th 2017, 23:00:00.000",_snort,"4,394"
"July 30th 2017, 23:00:00.000",_snort_suricata,844
"July 31st 2017, 23:00:00.000",_suricata,"14,670"
"July 31st 2017, 23:00:00.000",_snort,"4,345"
"July 31st 2017, 23:00:00.000",_snort_suricata,855
"August 1st 2017, 22:30:00.000",_suricata,"14,727"
"August 1st 2017, 22:30:00.000",_snort,"4,349"
"August 1st 2017, 22:30:00.000",_snort_suricata,867
"August 2nd 2017, 23:30:00.000",_suricata,"14,722"
"August 2nd 2017, 23:30:00.000",_snort,"4,387"
"August 2nd 2017, 23:30:00.000",_snort_suricata,861
"August 3rd 2017, 22:30:00.000",_suricata,"14,910"
"August 3rd 2017, 22:30:00.000",_snort,"2,330"
"August 3rd 2017, 22:30:00.000",_snort_suricata,876
"August 4th 2017, 22:30:00.000",_suricata,"14,831"
"August 4th 2017, 22:30:00.000",_snort,"6,208"
"August 4th 2017, 22:30:00.000",_snort_suricata,874
"August 2nd 2017, 23:30:00.000",_suricata,"14,722"
"August 2nd 2017, 23:30:00.000",_snort,"4,387"
"August 2nd 2017, 23:30:00.000",_snort_suricata,861
"August 3rd 2017, 22:30:00.000",_suricata,"14,910"
"August 3rd 2017, 22:30:00.000",_snort,"2,330"
"August 3rd 2017, 22:30:00.000",_snort_suricata,876
"August 4th 2017, 22:30:00.000",_suricata,"14,831"
"August 4th 2017, 22:30:00.000",_snort,"6,208"
"August 4th 2017, 22:30:00.000",_snort_suricata,874
"August 8th 2017, 03:00:00.000",_suricata,"14,801"
"August 8th 2017, 03:00:00.000",_snort,"11,730"
"August 8th 2017, 03:00:00.000",_snort_suricata,862
"August 8th 2017, 23:30:00.000",_suricata,"14,794"
"August 8th 2017, 23:30:00.000",_snort,"12,952"
"August 8th 2017, 23:30:00.000",_snort_suricata,866
"August 9th 2017, 22:00:00.000",_suricata,"14,881"
"August 9th 2017, 22:00:00.000",_snort,"14,814"
"August 9th 2017, 22:00:00.000",_snort_suricata,864
"August 9th 2017, 22:30:00.000",_suricata,"14,881"
"August 9th 2017, 22:30:00.000",_snort,"14,812"
"August 9th 2017, 22:30:00.000",_snort_suricata,864
"August 10th 2017, 21:30:00.000",_snort,"17,011"
"August 10th 2017, 21:30:00.000",_suricata,"14,807"
"August 10th 2017, 21:30:00.000",_snort_suricata,859
"August 11th 2017, 23:30:00.000",_snort,"17,024"
"August 11th 2017, 23:30:00.000",_suricata,"14,760"
"August 11th 2017, 23:30:00.000",_snort_suricata,856
"August 14th 2017, 22:00:00.000",_snort,"18,561"
"August 14th 2017, 22:00:00.000",_suricata,"14,804"
"August 14th 2017, 22:00:00.000",_snort_suricata,890
"August 15th 2017, 22:30:00.000",_snort,"22,009"
"August 15th 2017, 22:30:00.000",_suricata,"14,886"
"August 15th 2017, 22:30:00.000",_snort_suricata,901
"August 16th 2017, 22:00:00.000",_snort,"22,007"
"August 16th 2017, 22:00:00.000",_suricata,"14,868"
"August 16th 2017, 22:00:00.000",_snort_suricata,902
"August 18th 2017, 00:30:00.000",_snort,"23,687"
"August 18th 2017, 00:30:00.000",_suricata,"14,797"
"August 18th 2017, 00:30:00.000",_snort_suricata,901
"August 18th 2017, 22:30:00.000",_snort,"20,441"
"August 18th 2017, 22:30:00.000",_suricata,"14,768"
"August 18th 2017, 22:30:00.000",_snort_suricata,897
"August 21st 2017, 22:30:00.000",_snort,"17,861"
"August 21st 2017, 22:30:00.000",_suricata,"14,752"
"August 21st 2017, 22:30:00.000",_snort_suricata,897
"August 22nd 2017, 22:00:00.000",_snort,"16,475"
"August 22nd 2017, 22:00:00.000",_suricata,"14,737"
"August 22nd 2017, 22:00:00.000",_snort_suricata,913
"August 24th 2017, 02:00:00.000",_snort,"19,195"
"August 24th 2017, 02:00:00.000",_suricata,"14,638"
"August 24th 2017, 02:00:00.000",_snort_suricata,908
"August 24th 2017, 22:00:00.000",_snort,"17,150"
"August 24th 2017, 22:00:00.000",_suricata,"14,705"
"August 24th 2017, 22:00:00.000",_snort_suricata,890
"August 28th 2017, 22:30:00.000",_snort,"16,949"
"August 28th 2017, 22:30:00.000",_suricata,"14,596"
"August 28th 2017, 22:30:00.000",_snort_suricata,875
"August 29th 2017, 23:00:00.000",_suricata,"14,698"
"August 29th 2017, 23:00:00.000",_snort,"12,291"
"August 29th 2017, 23:00:00.000",_snort_suricata,861
"August 30th 2017, 22:30:00.000",_suricata,"14,702"
"August 30th 2017, 22:30:00.000",_snort,"12,294"
"August 30th 2017, 22:30:00.000",_snort_suricata,866
"August 31st 2017, 22:00:00.000",_suricata,"14,688"
"August 31st 2017, 22:00:00.000",_snort,"10,730"
"August 31st 2017, 22:00:00.000",_snort_suricata,854
"September 1st 2017, 22:00:00.000",_suricata,"14,683"
"September 1st 2017, 22:00:00.000",_snort,"11,934"
"September 1st 2017, 22:00:00.000",_snort_suricata,910
"September 5th 2017, 22:30:00.000",_suricata,"14,825"
"September 5th 2017, 22:30:00.000",_snort,"12,557"
"September 5th 2017, 22:30:00.000",_snort_suricata,899
"September 6th 2017, 22:00:00.000",_suricata,"14,938"
"September 6th 2017, 22:00:00.000",_snort,"10,407"
"September 6th 2017, 22:00:00.000",_snort_suricata,887
"September 8th 2017, 14:30:00.000",_suricata,"14,891"
"September 8th 2017, 14:30:00.000",_snort,"11,008"
"September 8th 2017, 14:30:00.000",_snort_suricata,886
"September 8th 2017, 22:00:00.000",_suricata,"14,777"
"September 8th 2017, 22:00:00.000",_snort,"9,211"
"September 8th 2017, 22:00:00.000",_snort_suricata,885
"September 8th 2017, 14:30:00.000",_suricata,"14,891"
"September 8th 2017, 14:30:00.000",_snort,"11,008"
"September 8th 2017, 14:30:00.000",_snort_suricata,886
"September 8th 2017, 22:00:00.000",_suricata,"14,777"
"September 8th 2017, 22:00:00.000",_snort,"9,211"
"September 8th 2017, 22:00:00.000",_snort_suricata,885
"September 8th 2017, 14:30:00.000",_suricata,"14,891"
"September 8th 2017, 14:30:00.000",_snort,"11,008"
"September 8th 2017, 14:30:00.000",_snort_suricata,886
"September 8th 2017, 22:00:00.000",_suricata,"14,777"
"September 8th 2017, 22:00:00.000",_snort,"9,211"
"September 8th 2017, 22:00:00.000",_snort_suricata,885
"September 11th 2017, 23:00:00.000",_suricata,"14,849"
"September 11th 2017, 23:00:00.000",_snort,"9,186"
"September 11th 2017, 23:00:00.000",_snort_suricata,902
"September 12th 2017, 22:00:00.000",_suricata,"14,270"
"September 12th 2017, 22:00:00.000",_snort,"11,509"
"September 12th 2017, 22:00:00.000",_snort_suricata,907
"September 13th 2017, 22:30:00.000",_suricata,"13,721"
"September 13th 2017, 22:30:00.000",_snort,"11,526"
"September 13th 2017, 22:30:00.000",_snort_suricata,922
"September 15th 2017, 17:30:00.000",_suricata,"14,900"
